Ticker,Sector,MarketCap,ROE,DER,NPM
CTBN,Basic Materials,"6,1E+12","24,2E+0","43,0E-2","13,7E+0"
CTRA,Properties & Real Estate,"16,1E+12","9,6E+0","79,0E-2","29,5E+0"
CTTH,Industrials,"12,4E+10","-16,9E+0","3,0E+0","-33,9E+0"
CUAN,Energy,"3,0E+14","24,1E+0","3,0E+0","18,1E+0"
CYBR,Technology,"9,7E+12","29,1E+0","67,0E-2","18,3E+0"
DAAZ,Basic Materials,"4,5E+12","16,2E+0","1,9E+0","3,5E+0"
DADA,Properties & Real Estate,"37,2E+10","51,0E-2","82,0E-2","19,8E+0"
DART,Properties & Real Estate,"56,2E+10","-21,7E+0","3,9E+0","-73,1E+0"
DATA,Infrastructures,"5,6E+12","30,8E+0","1,3E+0","34,7E+0"
DAYA,Consumer Non-Cyclicals,"3,8E+12","62,3E+0","8,1E+0","3,6E+0"
DCII,Technology,"5,6E+14","30,6E+0","49,0E-2","61,0E+0"
DEAL,Transportation & Logistic,"68,8E+8",,"-3,6E+0","-53,8E+0"
DEFI,Financials,"11,8E+10","-9,4E+0","8,0E-2","-62,2E+0"
DEPO,Consumer Cyclicals,"1,8E+12","6,7E+0","72,0E-2","4,2E+0"
DEWA,Energy,"17,6E+12","3,5E+0","1,1E+0","5,5E+0"
DEWI,Consumer Non-Cyclicals,"30,6E+10","4,2E+0","16,0E-2","14,3E+0"
DFAM,Consumer Cyclicals,"15,8E+10","-88,0E+0","13,9E+0","-30,7E+0"
DGIK,Infrastructures,"66,5E+10","8,5E+0","1,0E+0","9,7E+0"
DGNS,Healthcare,"21,3E+10","-1,2E+0","58,0E-2","-2,0E+0"
DGWG,Basic Materials,"2,3E+12","18,5E+0","2,4E+0","7,1E+0"
DIGI,Consumer Cyclicals,"5,7E+10",,"-2,7E+0","2,2E+0"
DILD,Properties & Real Estate,"1,4E+12","-1,4E+0","1,0E+0","-5,4E+0"
DIVA,Technology,"24,7E+10","22,0E-2","7,0E-2","6,0E-2"
DKFT,Basic Materials,"4,0E+12","42,0E+0","1,4E+0","41,7E+0"
DKHH,Healthcare,"21,4E+10",,"67,0E-2",
DLTA,Consumer Non-Cyclicals,"1,6E+12","18,2E+0","37,0E-2","29,3E+0"
DMAS,Properties & Real Estate,"6,3E+12","11,6E+0","6,0E-2","94,4E+0"
DMMX,Technology,"2,9E+12","3,6E+0","30,0E-2","4,8E+0"
DMND,Consumer Non-Cyclicals,"6,0E+12","6,3E+0","26,0E-2","5,0E+0"
DNAR,Financials,"3,5E+12","3,7E+0","2,5E+0","15,8E+0"
DNET,Financials,"1,3E+14","7,8E+0","49,0E-2","95,4E+0"
DOID,Energy,"2,5E+12","-1,2E+2","14,9E+0","-10,6E+0"
DOOH,Consumer Cyclicals,"1,7E+12","1,2E+0","36,0E-2","3,6E+0"
DOSS,Consumer Cyclicals,"31,2E+10","15,0E+0","54,0E-2","4,5E+0"
DPNS,Basic Materials,"10,3E+10","2,5E+0","2,0E-2","87,9E+0"
DPUM,Consumer Non-Cyclicals,"36,7E+10","-9,4E+0","2,0E+0","-4,3E+0"
DRMA,Consumer Cyclicals,"4,9E+12","21,9E+0","54,0E-2","13,4E+0"
DSFI,Consumer Non-Cyclicals,"16,0E+10","5,4E+0","68,0E-2","3,1E+0"
DSNG,Consumer Non-Cyclicals,"18,0E+12","14,6E+0","57,0E-2","17,9E+0"
DSSA,Energy,"8,5E+14","11,8E+0","94,0E-2","12,6E+0"
DUCK,Consumer Cyclicals,"22,6E+10","4,5E+0","46,0E-2","22,9E+0"
DUTI,Properties & Real Estate,"8,2E+12","2,6E+0","20,0E-2","20,1E+0"
DVLA,Healthcare,"1,9E+12","11,3E+0","56,0E-2","10,6E+0"
DWGL,Energy,"3,1E+12","40,2E+0","3,3E+0","6,6E+0"
DYAN,Industrials,"37,6E+10","7,1E+0","66,0E-2","5,5E+0"
EAST,Consumer Cyclicals,"38,4E+10","6,9E+0","5,0E-2","48,4E+0"
ECII,Consumer Cyclicals,"24,7E+10","-2,2E+0","43,0E-2","-1,5E+0"
EDGE,Technology,"9,2E+12","7,7E+0","1,2E+0","23,1E+0"
EKAD,Basic Materials,"66,4E+10","2,6E+0","8,0E-2","8,0E+0"
ELIT,Technology,"36,6E+10","19,8E+0","1,1E+0","8,4E+0"
ELPI,Transportation & Logistic,"5,2E+12","11,8E+0","23,0E-2","34,5E+0"
ELSA,Energy,"3,7E+12","13,4E+0","97,0E-2","6,6E+0"
ELTY,Properties & Real Estate,"95,7E+10","9,0E-2","46,0E-2","50,0E-2"
EMAS,Basic Materials,"60,4E+12","-6,9E+0","84,0E-2","-2,4E+4"
EMDE,Properties & Real Estate,"32,5E+10","3,3E+0","56,0E-2","58,3E+0"
EMTK,Technology,"75,2E+12","13,7E+0","12,0E-2","54,2E+0"
ENAK,Consumer Cyclicals,"1,5E+12","-15,9E+0","3,4E+0","-3,6E+0"
ENRG,Energy,"26,0E+12","11,2E+0","1,3E+0","22,7E+0"
ENVY,Technology,"9,0E+10",,"-1,3E+0","-16,9E+2"
ENZO,Consumer Non-Cyclicals,"9,3E+10","-6,5E+0","1,6E+0","-3,4E+0"
EPAC,Basic Materials,"10,2E+10","-16,1E+0","2,8E+0","-9,0E+0"
EPMT,Consumer Non-Cyclicals,"6,3E+12","9,9E+0","59,0E-2","3,1E+0"
ERAA,Consumer Cyclicals,"6,6E+12","10,7E+0","2,0E+0","2,0E+0"
ERAL,Consumer Cyclicals,"1,5E+12","9,9E+0","73,0E-2","3,9E+0"
ERTX,Consumer Cyclicals,"21,9E+10","9,2E+0","1,7E+0","3,0E+0"
ESIP,Basic Materials,"12,5E+10","1,4E+0","4,0E-2","3,1E+0"
ESSA,Basic Materials,"10,7E+12","6,2E+0","10,0E-2","17,3E+0"
ESTA,Consumer Cyclicals,"55,8E+10","-2,8E+0","89,0E-2","-14,9E+0"
ESTI,Consumer Cyclicals,"38,1E+10","6,1E+0","1,8E+0","5,2E+0"
ETWA,Energy,"32,7E+10",,"-3,1E+0","-2,1E+0"
EURO,Consumer Non-Cyclicals,"74,9E+10","2,9E+0","12,0E-2","16,1E+0"
EXCL,Infrastructures,"52,6E+12","-6,6E+0","2,4E+0","-6,9E+0"
FAPA,Consumer Non-Cyclicals,"22,6E+12","28,6E+0","1,8E+0","18,6E+0"
FAST,Consumer Cyclicals,"2,4E+12","-29,5E+2","2,5E+2","-13,5E+0"
FASW,Basic Materials,"17,0E+12","-17,0E+0","1,1E+0","-17,4E+0"
FILM,Consumer Cyclicals,"86,3E+12","-4,0E+0","13,0E-2","-33,4E+0"
FIMP,Infrastructures,"2,8E+10","8,7E+0","16,0E-2","66,9E+0"
FIRE,Energy,"13,7E+10","-3,4E+0","47,0E-2","-3,4E+0"
FISH,Consumer Non-Cyclicals,"6,5E+12","6,5E+0","1,5E+0","1,3E+0"
FITT,Consumer Cyclicals,"84,1E+10","-9,0E+0","37,0E-2","-1,0E+2"
FLMC,Consumer Non-Cyclicals,"14,8E+10","-1,2E+2","95,0E-2","-4,4E+2"
FMII,Properties & Real Estate,"2,1E+12","3,4E+0","10,0E-2","73,0E+0"
FOLK,Industrials,"1,1E+12","-20,9E+0","14,0E-2","-1,1E+2"
FOOD,Consumer Non-Cyclicals,"18,6E+10",,"-3,6E+0","-26,6E+0"
FORE,Consumer Non-Cyclicals,"4,5E+12","11,7E+0","62,0E-2","7,3E+0"
FORU,Consumer Cyclicals,"47,7E+10","-5,7E+0","24,0E-2","-4,6E+0"
FPNI,Basic Materials,"5,1E+12","17,0E-2","57,0E-2","8,0E-2"
FREN,Infrastructures,,,,
FUJI,Financials,"1,1E+12","7,1E+0","5,0E-2","1,1E+2"
FUTR,Consumer Cyclicals,"4,5E+12","3,5E+0","9,0E-2","22,9E+0"
FWCT,Energy,"28,3E+10","18,8E+0","95,0E-2","6,3E+0"
GAMA,Properties & Real Estate,"18,0E+10","-3,3E+0","31,0E-2","-3,0E+2"
GDST,Basic Materials,"1,1E+12","7,2E+0","1,1E+0","5,7E+0"
GDYR,Consumer Cyclicals,"45,3E+10","7,5E+0","84,0E-2","3,8E+0"
GEMA,Consumer Cyclicals,"14,6E+10","4,4E+0","1,7E+0","1,8E+0"
GEMS,Energy,"52,5E+12","45,8E+0","73,0E-2","17,1E+0"
GGRM,Consumer Non-Cyclicals,"28,7E+12","1,8E+0","23,0E-2","1,6E+0"
GGRP,Basic Materials,"3,0E+12","-5,4E+0","10,0E-2","-26,8E+0"
GHON,Infrastructures,"93,8E+10","10,7E+0","73,0E-2","53,5E+0"
GIAA,Transportation & Logistic,"9,4E+12",,"-5,4E+0","-5,6E+0"
GJTL,Consumer Cyclicals,"3,7E+12","9,8E+0","1,2E+0","7,5E+0"
GLOB,Consumer Cyclicals,"17,2E+10",,"-1,0E+0","-2,3E+2"
GLVA,Technology,"60,3E+10","10,7E+0","1,4E+0","3,6E+0"
GMFI,Infrastructures,"3,2E+12",,"-3,2E+0","11,2E+0"
GMTD,Properties & Real Estate,"2,4E+12","2,8E+0","59,0E-2","17,5E+0"
GOLD,Infrastructures,"37,6E+10","4,3E+0","11,0E-2","42,9E+0"
GOLF,Consumer Cyclicals,"3,9E+12","89,0E-2","9,0E-2","64,8E+0"
GOLL,Consumer Non-Cyclicals,"18,3E+10","-21,3E+0","5,0E+0","-4,5E+2"
GOOD,Consumer Non-Cyclicals,"13,7E+12","14,6E+0","1,1E+0","6,4E+0"
GOTO,Technology,"73,0E+12","-5,6E+0","45,0E-2","-12,2E+0"
GOTOM,Technology,"3,4E+12","-5,6E+0","45,0E-2","-12,2E+0"
GPRA,Properties & Real Estate,"57,7E+10","8,3E+0","37,0E-2","33,6E+0"
GPSO,Industrials,"44,7E+10","-15,5E+0","23,0E-2","-2,1E+2"
GRIA,Properties & Real Estate,"68,6E+10","1,7E+0","18,0E-2","13,3E+0"
GRPH,Consumer Cyclicals,"6,5E+10","4,2E+0","31,0E-2","13,8E+0"
GRPM,Consumer Non-Cyclicals,"9,1E+10","3,2E+0","83,0E-2","53,0E-2"
GSMF,Financials,"1,6E+12","1,5E+0","1,3E+0","5,1E+0"
GTBO,Energy,"52,0E+10","-9,6E+0","18,0E-2","-43,4E+0"
GTRA,Transportation & Logistic,"61,4E+10","15,5E+0","2,0E+0","12,4E+0"
GTSI,Energy,"2,2E+12","8,2E+0","87,0E-2","21,2E+0"
GULA,Consumer Non-Cyclicals,"34,3E+10","-4,7E+0","53,0E-2","-7,1E+0"
GUNA,Consumer Non-Cyclicals,"70,0E+10","10,1E+0","54,0E-2","5,8E+0"
GWSA,Properties & Real Estate,"1,2E+12","98,0E-2","6,0E-2","1,5E+2"
GZCO,Consumer Non-Cyclicals,"1,9E+12","7,7E+0","79,0E-2","15,7E+0"
HADE,Infrastructures,"4,9E+10","-33,6E+0","15,0E-2","-94,6E+0"
HAIS,Transportation & Logistic,"62,5E+10","12,2E+0","78,0E-2","15,2E+0"
HAJJ,Consumer Cyclicals,"29,9E+10","8,9E+0","2,0E+0","2,8E+0"
HALO,Healthcare,"60,8E+10","-3,5E+0","41,0E-2","-3,7E+0"
HATM,Transportation & Logistic,"3,3E+12","8,5E+0","17,0E-2","17,6E+0"
HBAT,Properties & Real Estate,"29,1E+10","7,9E+0","2,0E-2","51,4E+0"
HDFA,Financials,"1,0E+12","-10,0E+0","5,4E+0","-19,1E+0"
HDIT,Technology,"11,1E+10","-8,9E+0","24,0E-2","-1,2E+2"
HEAL,Healthcare,"21,5E+12","5,9E+0","66,0E-2","8,0E+0"
HELI,Transportation & Logistic,"19,3E+10","24,9E+0","1,5E+0","16,5E+0"
HERO,Consumer Non-Cyclicals,"2,0E+12","-7,6E+0","1,9E+0","-3,4E+0"
HEXA,Industrials,"3,8E+12","20,7E+0","1,8E+0","12,7E+0"
HGII,Infrastructures,"1,0E+12","3,1E+0","28,0E-2","50,1E+0"
HILL,Energy,"2,3E+12","-7,0E+0","3,1E+0","-4,0E+0"
HITS,Energy,"82,4E+10","-3,6E+0","1,8E+0","-4,3E+0"
HKMU,Basic Materials,"16,1E+10",,"-6,7E+0","-67,1E+2"
HMSP,Consumer Non-Cyclicals,"95,4E+12","22,6E+0","82,0E-2","7,1E+0"
HOKI,Consumer Non-Cyclicals,"75,5E+10","-3,7E+0","65,0E-2","-2,9E+0"
HOME,Consumer Cyclicals,"1,1E+12","-1,7E+0","16,0E-2","-3,4E+2"
HOMI,Properties & Real Estate,"76,2E+10","-2,0E+0","47,0E-2","-10,0E+0"
HOPE,Industrials,"31,5E+10","-37,1E+0","1,0E+0","-1,2E+2"
HOTL,Consumer Cyclicals,"17,8E+10","19,1E+0","21,0E-2","33,0E+2"
HRME,Consumer Cyclicals,"22,0E+10","-6,3E+0","51,0E-2","-46,6E+0"
HRTA,Consumer Cyclicals,"6,9E+12","25,3E+0","1,9E+0","2,8E+0"
HRUM,Energy,"13,6E+12","1,4E+0","80,0E-2","2,6E+0"
HUMI,Energy,"2,7E+12","6,2E+0","83,0E-2","11,4E+0"
HYGN,Industrials,"40,9E+10","11,7E+0","36,0E-2","7,2E+0"
IATA,Transportation & Logistic,"3,5E+12","1,6E+0","76,0E-2","3,4E+0"
IBFN,Financials,"17,4E+10",,"-1,7E+0","-37,6E+0"
IBOS,Consumer Non-Cyclicals,"54,0E+10","-19,0E-2","9,0E-2","-2,6E+0"
IBST,Infrastructures,"7,0E+12","16,2E+0","74,0E-2","62,7E+0"
ICBP,Consumer Non-Cyclicals,"98,5E+12","8,5E+0","86,0E-2","10,7E+0"
ICON,Industrials,"8,2E+10","-2,2E+0","66,0E-2","-2,8E+0"
IDEA,Consumer Cyclicals,"9,0E+10","3,1E+0","21,0E-2","15,2E+0"
IDPR,Infrastructures,"57,3E+10","3,5E+0","1,4E+0","2,7E+0"
IFII,Basic Materials,"2,1E+12","15,8E+0","27,0E-2","21,1E+0"
IFSH,Basic Materials,"1,7E+12","7,4E+0","19,0E-2","9,3E+0"
IGAR,Basic Materials,"54,7E+10","6,3E+0","12,0E-2","7,8E+0"
IIKP,Consumer Cyclicals,"1,7E+12","-9,2E+0","14,0E-2","-1,6E+2"
IKAI,Consumer Cyclicals,"17,3E+10","-10,7E+0","66,0E-2","-73,3E+0"
IKAN,Consumer Non-Cyclicals,"9,4E+10","1,1E+0","72,0E-2","84,0E-2"
IKBI,Industrials,"67,3E+10","10,3E+0","37,0E-2","7,2E+0"
IKPM,Healthcare,"40,1E+10","-13,0E+0","1,1E+0","-10,8E+0"
IMAS,Consumer Cyclicals,"4,6E+12","2,6E+0","3,6E+0","1,8E+0"
IMJS,Financials,"2,3E+12","4,9E+0","5,8E+0","5,3E+0"
IMPC,Industrials,"1,7E+14","19,5E+0","62,0E-2","20,1E+0"
INAF,Healthcare,"39,1E+10",,"-1,7E+0","-2,2E+2"
INAI,Basic Materials,"9,6E+10","-70,3E+0","7,7E+0","-16,0E+0"
INCF,BASIC INDUSTRY AND CHEMICALS,"7,5E+10","-56,0E-2","1,8E+0","-79,0E-2"
INCI,Basic Materials,"13,2E+10","6,0E+0","16,0E-2","10,3E+0"
INCO,Basic Materials,"40,3E+12","2,3E+0","18,0E-2","8,8E+0"
INDF,Consumer Non-Cyclicals,"64,5E+12","6,7E+0","85,0E-2","8,5E+0"
INDO,Properties & Real Estate,"1,3E+12","2,6E+0","1,0E-2","1,3E+2"
INDR,Consumer Cyclicals,"1,9E+12","-4,4E+0","93,0E-2","-3,1E+0"
INDS,Consumer Cyclicals,"1,5E+12","2,0E+0","25,0E-2","2,8E+0"
INDX,Industrials,"7,2E+10","-37,4E+0","1,0E+0","-45,0E+2"
INDY,Energy,"9,1E+12","-1,6E+0","1,2E+0","-1,5E+0"
INET,Infrastructures,"6,2E+12","5,1E+0","26,0E-2","27,1E+0"
INKP,Basic Materials,"48,0E+12","4,7E+0","88,0E-2","19,5E+0"
INOV,Consumer Cyclicals,"24,2E+10","16,3E+0","1,9E+0","10,3E+0"
INPC,Financials,"3,1E+12","1,8E+0","6,5E+0","6,4E+0"
INPP,Properties & Real Estate,"7,5E+12","6,7E+0","51,0E-2","34,0E+0"
INPS,Energy,"11,2E+10",,"-9,5E+0","-11,0E+0"
INRU,Basic Materials,"96,5E+10","-40,1E+0","5,0E+0","-51,9E+0"
INTA,Industrials,"24,7E+10",,"-2,1E+0","-9,1E+0"
INTD,Basic Materials,"13,1E+10","-5,1E+0","6,0E-2","-7,2E+0"
INTP,Basic Materials,"23,1E+12","9,1E+0","36,0E-2","15,6E+0"
IOTF,Technology,"47,1E+10","35,0E-2","16,0E-2","1,2E+0"
IPAC,Properties & Real Estate,"19,4E+10","2,7E+0","35,0E-2","2,6E+0"
IPCC,Infrastructures,"2,5E+12","19,0E+0","44,0E-2","38,5E+0"
IPCM,Infrastructures,"1,8E+12","14,1E+0","29,0E-2","17,1E+0"
IPOL,Basic Materials,"79,9E+10","58,0E-2","1,1E+0","59,0E-2"
IPPE,Consumer Non-Cyclicals,"6,4E+10","64,0E-2","5,0E-2","9,0E+0"
IPTV,Consumer Cyclicals,"1,7E+12","-2,6E+0","14,0E-2","-15,2E+0"
IRRA,Healthcare,"70,1E+10","14,0E+0","3,9E+0","7,7E+0"
IRSX,Technology,"2,7E+12","-2,1E+0","2,0E-2","-3,4E+0"
ISAP,Consumer Cyclicals,"12,5E+10","-99,0E-2","4,0E-2","-27,9E+0"
ISAT,Infrastructures,"77,1E+12","12,3E+0","2,0E+0","11,2E+0"
ISEA,Consumer Non-Cyclicals,"13,3E+10","1,2E+0","1,4E+0","62,0E-2"
ISSP,Basic Materials,"3,1E+12","10,2E+0","58,0E-2","13,0E+0"
ITIC,Consumer Non-Cyclicals,"40,8E+10","4,7E+0","41,0E-2","9,2E+0"
ITMA,Energy,"1,6E+12","57,0E-2","20,0E-2","1,3E+2"
ITMG,Energy,"24,9E+12","12,9E+0","25,0E-2","17,9E+0"
JARR,Consumer Non-Cyclicals,"30,4E+12","17,6E+0","1,1E+0","10,7E+0"
JAST,Infrastructures,"11,0E+10","-2,9E+0","91,0E-2","-1,8E+0"
JATI,Technology,"46,3E+10","10,6E+0","1,1E+0","4,4E+0"
JAWA,Consumer Non-Cyclicals,"3,2E+12","1,7E+0","1,8E+0","1,8E+0"
JAYA,Transportation & Logistic,"8,6E+10","1,9E+0","1,2E+0","4,5E+0"
JECC,Industrials,"87,3E+10","13,4E+0","1,8E+0","4,1E+0"
JGLE,Consumer Cyclicals,"45,2E+10","-52,0E-2","39,0E-2","-5,5E+0"
JIHD,Consumer Cyclicals,"1,4E+12","2,2E+0","37,0E-2","9,3E+0"
JKON,Infrastructures,"1,4E+12","3,7E+0","34,0E-2","5,1E+0"
JMAS,Financials,"15,3E+10","3,8E+0","2,6E+0","8,0E+0"
JPFA,Consumer Non-Cyclicals,"28,6E+12","18,3E+0","1,0E+0","7,7E+0"
JRPT,Properties & Real Estate,"13,1E+12","11,7E+0","36,0E-2","55,1E+0"
JSKY,Energy,"10,6E+10",,"-19,1E+0","-1,5E+2"
JSMR,Infrastructures,"25,2E+12","6,5E+0","1,5E+0","18,8E+0"
JSPT,Consumer Cyclicals,"8,1E+12","8,3E+0","1,1E+0","14,3E+0"
JTPE,Industrials,"2,8E+12","20,6E+0","67,0E-2","21,5E+0"
KAEF,Healthcare,"3,0E+12","-18,8E+0","3,7E+0","-8,6E+0"
KAQI,Consumer Cyclicals,"14,5E+10","7,1E+0","16,0E-2","15,7E+0"
KARW,Infrastructures,"23,5E+10",,"-1,5E+0","-7,3E+0"
KAYU,Basic Materials,"1,2E+10","99,0E-2","22,0E-2","12,0E+0"
KBAG,Properties & Real Estate,"30,0E+10","-6,2E+0","17,0E-2","-2,0E+2"
KBLI,Industrials,"1,3E+12","7,7E+0","11,0E-2","8,2E+0"
KBLM,Industrials,"39,4E+10","3,2E+0","21,0E-2","3,6E+0"
KBLV,Infrastructures,"37,6E+10","38,0E-2","14,0E-2","27,3E+2"
KBRI,Basic Materials,"43,4E+10","-25,2E+0","6,5E+0","-89,5E+2"
KDSI,Basic Materials,"74,8E+10","4,4E+0","56,0E-2","2,2E+0"
KDTN,Consumer Cyclicals,"44,5E+10","2,0E+0","19,0E-2","5,7E+0"
KEEN,Infrastructures,"4,4E+12","2,2E+0","78,0E-2","16,8E+0"
KEJU,Consumer Non-Cyclicals,"4,0E+12","22,3E+0","41,0E-2","16,7E+0"
KETR,No Sector,"1,7E+12","11,7E+0","96,0E-2","22,5E+0"
KIAS,Industrials,"31,4E+10","-1,6E+0","23,0E-2","-2,8E+0"
